Event ID,Title,Start,End,Timezone,Organization,Venue,Address,City,Region,Categories,Cost,Description,Public Source URL,Ticket URL,Source Category,Source Record IDs,Source Supplied IDs,Source URLs,Retrieved At
d0187951-4cf1-500f-ae7b-816e01e11acc,New Exhibit: Voices of Service From the Jewish Community,2026-05-25,2026-11-11,date-only,Fort Miles Historical Association,,,,,Exhibitions,,"A traveling exhibit on display at the Fort Miles Museum from Memorial Day through Veterans Day. The ""Dear Mollye"" Collection includes letters and artifacts sent to Mollye Sklut, office manager of the YM & YWHA, by nearly 350 Jewish World War II service members from Wilmington, Delaware.",https://fortmilesmuseum.org/new-exhibit-voices-of-service-from-the-jewish-community,,non-grantee,9b999d67-89bf-5269-8f70-6aff81b77970,scenescout:29b33681a1d91de516385240e8eda15a,https://fortmilesmuseum.org/new-exhibit-voices-of-service-from-the-jewish-community,2026-08-19T15:37:21.163Z
70061f7f-a85e-5248-9e2b-d6c84d0ff28f,PETITE EXHIBIT: Twenty-Six for 2026: Objects of Independence,2026-07-21,2026-11-01,date-only,Historic Odessa Foundation,,,,,Exhibitions,,Continue commemorating the nation's 250th birthday by visiting the Historic Odessa Foundation's Semiquincentennial Petite Exhibition that highlights 26 significant objects for 2026 displayed throughout the historic homes.,https://historicodessa.org/events-calendar,,non-grantee,24fabbfc-297c-502e-b44b-6868e193cb8a,scenescout:ecb8370cf4cfd7e36681d72f031c7af2,https://historicodessa.org/events-calendar,2026-08-19T15:37:21.163Z
96201933-24c2-5c7e-b3df-4e3ef12589c9,Exhibition - Angelica Leonor Vidro: Born In Spirit: Painted in Light,2026-08-18,2026-09-17,date-only,"Newark Arts Alliance, Inc.",,,,,Exhibitions,,"Exhibition on view: August 17th - September 17th. Reception: Friday, September 11th, 6- 8pm Portrait paintings by Angelica Leonor Vidro",https://www.newarkartsalliance.org/upcoming-events/exhibition-angelica-leonor-vidro,,ddoa-grantee,3f7b109f-19fa-5a06-a6d3-36d494024b26,scenescout:4e0176dbadf90576000469c56cda7f6f,https://www.newarkartsalliance.org/upcoming-events/exhibition-angelica-leonor-vidro,2026-08-19T15:37:21.163Z
aa014429-d50b-5eea-8773-d35d0ab9ab4d,Live Music with Chris Steele Every Tuesday at The Purple Parrot,2026-08-18,2026-08-26,date-only,,,,,,Music,,"Recurring weekly until Wed, Aug 26.",https://delawarescene.com/,,non-grantee,0a5d3b21-0a25-55a4-856d-f01ed6c7204b,scenescout:f4e3c0c1b3ad380b1c0f30c4c8538855,https://delawarescene.com/,2026-08-19T15:37:21.163Z
9e0b19ad-61d0-538d-8424-7b9fb470a138,Annie,2026-08-19,2026-08-30,date-only,,,,,,Theater & Performance,,,https://delawarescene.com/,,non-grantee,0a5d3b21-0a25-55a4-856d-f01ed6c7204b,scenescout:ff56159b4f2363037e3ac51e006ceabb,https://delawarescene.com/,2026-08-19T15:37:21.163Z
551b3d47-5389-5b2f-95be-77afb6f1326e,"Art Is Tasty: Mother and Son Assistant Chief Avery ""Leaving Tracks"" Johnson and Ms. Sarah ""Stump"" Johnson, Citizens of the Nanticoke Indian Tribe",2026-08-19,2026-08-23,date-only,,,,,,Visual Arts,,,https://delawarescene.com/,,non-grantee,0a5d3b21-0a25-55a4-856d-f01ed6c7204b,scenescout:0bab243e21fb8b6b782d396606b83ef1,https://delawarescene.com/,2026-08-19T15:37:21.163Z
a883d2d5-4f78-5336-8405-2e5d38aeb5d0,Faculty & Friends Performances | The Music School of Delaware,2026-08-19,,date-only,"The Music School of Delaware, Inc",,,,,,,,https://www.musicschoolofdelaware.org/events/performances/professional/,,ddoa-grantee,1409942d-d6dd-5125-9140-1d1facf0a00d,https://www.musicschoolofdelaware.org/events/performances/professional/,https://www.musicschoolofdelaware.org/events/performances/professional/,2026-08-19T14:48:52.161Z
08c969e6-50dc-5eb9-84c2-e6591d231ff0,"Geraldo ""The King of Transit"" Gonzalez: Solo Exhibition",2026-08-19,2026-10-01,date-only,"The Dover Art League, Inc.",,,,,Exhibitions,,"Solo exhibition in the Holden Gallery featuring bold colors, transit-inspired artwork, and personal stories. Through each piece, Geraldo celebrates his Puerto Rican heritage, his lifelong passion for transportation, and the unique lens through which he sees the world. Geraldo loves talking with visitors about his work, process, and artistic journey. He was recognized with the 2025 Delaware Division of the Arts Established Artist Fellowship.",https://www.thedoverartleague.com/events,,ddoa-grantee,351c15f8-7f9d-5349-a102-af35ab2f2c74,scenescout:a92ed3d6cc96990718d6536ae39908df,https://www.thedoverartleague.com/events,2026-08-19T15:37:21.163Z
da0419eb-889f-5ec1-ae62-dc4b00c6db12,Live Music with Matt Avery Every Wednesday at The Purple Parrot,2026-08-19,2026-08-27,date-only,,,,,,Music,,"Recurring weekly until Thu, Aug 27.",https://delawarescene.com/,,non-grantee,0a5d3b21-0a25-55a4-856d-f01ed6c7204b,scenescout:214bbcf996d02e503fc44db9f19049d4,https://delawarescene.com/,2026-08-19T15:37:21.163Z
3324a55a-727f-5aab-b2d5-1200403a86f7,New Zealand Pen Pal Program--Every Day!,2026-08-19,,date-only,,,,,,,,"New Zealand Pen Pal Program--Every Day! Thanks to a partnership between South Coastal Library, Kent County Library, and Wellington City Libraries, you can now have the opportunity to connect with a New Zealander! This is a fun way to learn about another country and make a new friend. We handle all the international postage - you bring in and pick up your letters at the library. How to sign up: Fill out a registration form. Registration forms are available at the library and online. Click here to register online. Parental permission and signature is needed for anyone to participate under the age of 18. Please register all persons under 18 in person at the library. Wait! After you are registered, library staff will work to match you with your New Zealand pen pal! Please be patient. Get matched! You will be notified with the full name of your pen pal and some basic information. Please use their full name when addressing envelopes! How the program works: Write your letter and drop it off at your library. Be sure to address it clearly! When your letter arrives from New Zealand, you'll be notified! Just stop in to the library to pick…",https://delawarelibraries.libcal.com/event/15827982,,non-grantee,0a5d3b21-0a25-55a4-856d-f01ed6c7204b,scenescout:fa42057704113f9df3ea8daf270e5768,https://delawarelibraries.libcal.com/event/15827982,2026-08-19T15:37:21.163Z
