venue ID,presenter ID (if different),title of program,categories,URL,box office phone,low price,high price,start date,start time,end date,ticket URL,description
1622,,New Exhibit: Voices of Service From the Jewish Community,26,https://fortmilesmuseum.org/new-exhibit-voices-of-service-from-the-jewish-community/,,,,05/25/2026,,11/11/2026,,"A traveling exhibit on display at the Fort Miles Museum from Memorial Day through Veterans Day. The ""Dear Mollye"" Collection includes letters and artifacts sent to Mollye Sklut, office manager of the YM & YWHA, by nearly 350 Jewish World War II service members from Wilmington, Delaware."
1696,,PETITE EXHIBIT: Twenty-Six for 2026: Objects of Independence,26,https://historicodessa.org/events-calendar,302-378-4119,,,07/21/2026,10:00 a.m.,11/01/2026,,Continue commemorating the nation's 250th birthday by visiting the Historic Odessa Foundation's Semiquincentennial Petite Exhibition that highlights 26 significant objects for 2026 displayed throughout the historic homes.
21,,Exhibition - Angelica Leonor Vidro: Born In Spirit: Painted in Light,26,https://www.newarkartsalliance.org/upcoming-events/exhibition-angelica-leonor-vidro,,,,08/18/2026,12:00 p.m.,09/17/2026,,"Exhibition on view: August 17th - September 17th. Reception: Friday, September 11th, 6- 8pm Portrait paintings by Angelica Leonor Vidro"
,,Live Music with Chris Steele Every Tuesday at The Purple Parrot,9,,,,,08/18/2026,8:00 p.m.,08/26/2026,,"Recurring weekly until Wed, Aug 26."
403,,BEAR NONFICTION BOOK GROUP,8,https://delawarelibraries.libcal.com/event/15480900,,,,08/19/2026,6:00 p.m.,,,Join us for an informal book discussion in-person. Stop by or call the INFO Desk (302-838-3300) for each month’s selection. Adults.
403,,CANCELLED - PRE-TEEN CHIT CHAT,11,https://delawarelibraries.libcal.com/event/16872328,,,,08/19/2026,2:00 p.m.,,,"Pre-Teen Chit Chat is an opportunity for pre-teens to hang out after school, meet new friends, and check out all the awesome resources our library has to offer. Pre-teens will get to decide how they want to spend their time during each lounge – playing games, making arts and crafts, or planning innovative programs. As members, they will also engage with the broader community by encouraging more pre-teens to participate in library events. You can launch exciting campaigns and activities to spread the word about what the library has to offer, while earning community service hours. It’s an important space for this developmental age group to be able to express themselves and decide what resources, programs, and experiences at the library suit their needs. They will also have opportunities to collaborate with the Teen Advisory Board (T.A.B.) on projects. Ages 10 - 13 *(13 year olds have the option to join TAB instead, depending on which group better suits them)"
403,,MAKE A SERENE SEASCAPE USING WATERCOLOR,11,https://delawarelibraries.libcal.com/event/17015437,,,,08/19/2026,6:00 p.m.,,,"Learn basic watercolor techniques with artist Katherine LeCocq, and leave with a serene seascape you’ll be happy to display in your home! Supplies provided. Beginners welcome. Adults. Registration required."
403,,YOUNG WRITER'S CLUB,8,https://delawarelibraries.libcal.com/event/15585568,,,,08/19/2026,6:30 p.m.,,,Interested in honing your writing skills? Join us for the young writer’s club where we will work on existing writing projects or write to a monthly prompt. We will also have a chance to talk about the pieces for feedback. Computers will be provided for this program. For Ages 12-18.
1615,,American Mahjong,,https://delawarelibraries.libcal.com/event/16072036,,,,08/19/2026,1:00 p.m.,,,"Come and play American Mahjong at the Brandywine Hundred Library every Wednesday from 1pm to 3pm. This program is designed for experienced players who are familiar with both the rules and the tiles. Mahjong is a game of both skill and luck that originated in China many centuries ago. You are welcome to bring your own Mahjong set. Join your friends or come and make new ones. What: American Mahjong Where : Brandywine Hundred Library; Multipurpose Room A 1300 Foulk Road, Wilmington DE 19803 (302) 477-3150 When: Weekly Wednesdays 1-3pm Who: Anyone who knows the rules and tiles and wants to stay and play No registration required."
1615,,Nonfiction Book Group - No discussion Aug. 2026,8,https://delawarelibraries.libcal.com/event/16669726,,,,08/19/2026,10:00 a.m.,,,"This is a morning Book Group for anyone who enjoys Nonfiction. Adults. 10:00 am-11:30 am. This group is currently meeting virtually. This is an online event. Brandywine Hundred Library is inviting you to a scheduled Zoom meeting. Topic: NonFiction Book Group Time: This is a recurring meeting Meet anytime Join Zoom Meeting https://us02web.zoom.us/j/2403084266?pwd=ZW1WdkpzZXhjYXhXUzk2WHBIcFczdz09 Meeting ID: 240 308 4266 Passcode: 629625 Call Adult Reference Desk for titles. Registration is Required for new Book Group members, so you can be added to the group's email Contact list."
